id,xpos,ypos
1,1,25
2,1,26
3,1,27
4,2,24
5,2,25
6,2,26
7,2,27
8,2,28
9,3,24
10,3,25
11,3,26
12,3,27
13,3,28
14,4,24
15,4,25
16,4,26
17,4,27
18,4,28
19,5,25
20,5,26
21,5,27
22,7,25
23,8,25
24,8,26
25,7,26
26,2,30
27,2,31
28,3,30
29,3,31
30,4,33
31,4,34
32,5,32
33,5,33
34,5,34
35,5,35
36,6,32
37,6,33
38,6,34
39,6,35
40,7,33
41,7,34
42,8,29
43,8,30
44,8,31
45,9,28
46,9,29
47,9,30
48,9,31
49,9,32
50,10,28
51,10,29
52,10,30
53,10,31
54,10,32
55,11,28
56,11,29
57,11,30
58,11,31
59,11,32
60,12,29
61,12,30
62,12,31
63,11,25
64,11,26
65,12,25
66,12,26
67,8,36
68,8,37
69,8,38
70,9,35
71,9,36
72,9,37
73,9,38
74,9,39
75,10,35
76,10,36
77,10,37
78,10,38
79,10,39
80,11,35
81,11,36
82,11,37
83,11,38
84,11,39
85,12,36
86,12,37
87,12,38
88,14,33
89,14,34
90,15,33
91,15,34
92,14,37
93,14,38
94,15,37
95,15,38
96,15,28
97,15,29
98,15,30
99,16,27
100,16,28
101,16,29
102,16,30
103,16,31
104,17,27
105,17,28
106,17,29
107,17,30
108,17,31
109,18,27
110,18,28
111,18,29
112,18,30
113,18,31
114,19,28
115,19,29
116,19,30
117,17,36
118,17,37
119,17,38
120,18,35
121,18,36
122,18,37
123,18,38
124,18,39
125,19,35
126,19,36
127,19,37
128,19,38
129,19,39
130,20,35
131,20,36
132,20,37
133,20,38
134,20,39
135,21,36
136,21,37
137,21,38
138,4,14
139,4,15
140,5,13
141,5,14
142,5,15
143,5,16
144,6,13
145,6,14
146,6,15
147,6,16
148,7,14
149,7,15
150,6,18
151,6,19
152,6,20
153,7,18
154,7,19
155,7,20
156,8,18
157,8,19
158,8,20
159,9,12
160,9,13
161,10,11
162,10,12
163,10,13
164,10,14
165,11,11
166,11,12
167,11,13
168,11,14
169,12,12
170,12,13
171,10,16
172,10,17
173,11,16
174,11,17
175,11,20
176,13,18
177,13,19
178,13,20
179,14,17
180,14,18
181,14,19
182,14,20
183,14,21
184,15,17
185,15,18
186,15,19
187,15,20
188,15,21
189,16,17
190,16,18
191,16,19
192,16,20
193,16,21
194,17,18
195,17,19
196,17,20
197,14,12
198,14,13
199,15,11
200,15,12
201,15,13
202,15,14
203,16,11
204,16,12
205,16,13
206,16,14
207,17,12
208,17,13
209,19,18
210,19,19
211,20,17
212,20,18
213,20,19
214,20,20
215,21,17
216,21,18
217,21,19
218,21,20
219,22,18
220,22,19
221,19,12
222,19,13
223,20,11
224,20,12
225,20,13
226,20,14
227,21,11
228,21,12
229,21,13
230,21,14
231,22,12
232,22,13
233,25,36
234,25,37
235,26,36
236,26,37
237,29,36
238,29,37
239,30,36
240,30,37
241,26,32
242,26,33
243,27,31
244,27,32
245,27,33
246,27,34
247,28,31
248,28,32
249,28,33
250,28,34
251,29,32
252,29,33
253,22,29
254,22,30
255,23,28
256,23,29
257,23,30
258,23,31
259,24,28
260,24,29
261,24,30
262,24,31
263,25,29
264,25,30
265,22,24
266,22,25
267,23,24
268,23,25
269,25,25
270,25,26
271,26,24
272,26,25
273,26,26
274,26,27
275,27,24
276,27,25
277,27,26
278,27,27
279,28,25
280,28,26
281,30,27
282,30,28
283,30,29
284,31,26
285,31,27
286,31,28
287,31,29
288,31,30
289,32,26
290,32,27
291,32,28
292,32,29
293,32,30
294,33,26
295,33,27
296,33,28
297,33,29
298,33,30
299,34,27
300,34,28
301,34,29
302,32,33
303,32,34
304,32,35
305,33,32
306,33,33
307,33,34
308,33,35
309,33,36
310,34,32
311,34,33
312,34,34
313,34,35
314,34,36
315,35,32
316,35,33
317,35,34
318,35,35
319,35,36
320,36,33
321,36,34
322,36,35
323,36,29
324,36,30
325,37,29
326,37,30
327,26,12
328,26,13
329,27,12
330,27,13
331,26,17
332,26,18
333,26,19
334,27,16
335,27,17
336,27,18
337,27,19
338,27,20
339,28,16
340,28,17
341,28,18
342,28,19
343,28,20
344,29,17
345,29,18
346,29,19
347,28,10
348,29,12
349,29,13
350,30,11
351,30,12
352,30,13
353,30,14
354,31,11
355,31,12
356,31,13
357,31,14
358,32,12
359,32,13
360,31,16
361,31,17
362,32,16
363,32,17
364,31,20
365,31,21
366,32,19
367,32,20
368,32,21
369,32,22
370,33,19
371,33,20
372,33,21
373,33,22
374,34,20
375,34,21
376,34,15
377,34,16
378,35,14
379,35,15
380,35,16
381,35,17
382,36,14
383,36,15
384,36,16
385,36,17
386,37,15
387,37,16
388,36,20
389,36,21
390,37,20
391,37,21
392,36,24
393,36,25
394,37,24
395,37,25
